"","Lat","Long","YY","Ex","Pf","PfPR2_10","LoAge","UpAge"
"1",-14.335,34.288,2002,88,20,24.08,0,14
"2",-14.3621,33.9566,2009,5,2,40.36,2,3.9
"3",-14.327,33.941,2001,9,8,99.79,8.5,24
"4",-14.283,34.275,2002,66,39,62.61,0,14
"5",-14.4688,33.7137,2010,18,0,0,0,5
"6",-14.3961,34.2664,2010,15,1,7.3,0,5
"7",-14.2535,34.0721,2010,9,0,0,0,5
"8",-14.0425,34.2369,2010,15,2,14.58,0,5
"9",-14.3468,34.3572,2010,17,0,0,0,5
"10",-14.3972,34.4175,2010,16,4,25.45,1,5
"11",-14.3898,34.3181,2010,18,2,12.15,0,5
"12",-14.278,34.576,2001,7,1,17.43,6.3,30.4
"13",-14.366,34.449,2002,63,18,30.27,0,14
"14",-14.35,34.167,2002,68,1,1.56,0,14
"15",-14.338,34.169,2002,54,43,84.37,0,14
"16",-14.2935,34.2511,2009,10,3,31.85,0.5,3.9
"17",-14.309,34.3586,2009,13,1,8.03,0.5,4.9
"18",-14.0165,34.2483,2012,14,6,45.51,0.5,4.3
"19",-14.3241,34.3654,2012,14,2,14.92,0.5,4.8
"20",-14.2847,34.0649,2012,9,4,46.05,0.8,4.5
"21",-14.3863,34.3075,2012,14,0,0,2,4.9
"22",-14.4138,34.2339,2012,19,0,0,0.5,4.7
"23",-14.3963,34.431,2012,11,0,0,1.1,4.7
"24",-14.4606,33.7297,2012,11,2,18.62,1,4.4
"25",-14.3672,33.8415,2014,15,7,49.19,0.6,4.4
"26",-14.0521,34.1671,2014,14,8,58.53,1,4.7
"27",-14.4001,34.4189,2014,11,2,19.01,0.9,3.4
"28",-14.3848,34.3349,2014,12,0,0,1,4.9
"29",-14.3766,34.3358,2014,11,1,9.49,0.5,4.6
"30",-14.3949,34.2049,2017,22,2,9.39,0.7,4.8
"31",-14.3325,34.1562,2017,19,3,16.42,0.6,4.9
"32",-14.1261,34.1108,2017,25,4,16.64,0.6,4.9
"33",-14.3208,34.5568,2017,19,3,16.49,0.5,4.9
"34",-14.3885,34.3353,2017,21,1,4.82,1.3,4.9
"35",-14.1615,34.1031,2016,17,11,66.66,1.1,14.7
"36",-14.3605,34.6634,2016,23,3,13.44,1.3,14.4
"37",-14.08,34.2451,2016,29,18,64.57,0.6,14.8
"38",-14.3769,34.0445,2016,27,11,42.01,0.8,14.4
"39",-14.3,34.431,2002,76,18,25.09,0,14
"40",-14.41,34.4,2002,71,6,8.95,0,14
"41",-14.317,34.299,2002,57,13,24.17,0,14
"42",-14.383,34.283,2002,72,21,30.91,0,14
"43",-14.3817,33.9418,2001,7,5,96.51,9.3,33.8
"44",-14.326,34.438,2002,56,18,34.05,0,14
"45",-14.0457,34.2507,2001,5,3,84.32,11,31.1
"46",-13.286,33.6011,2001,8,3,47.83,6.5,35.9
"47",-13.388,33.4709,2009,12,5,43.52,0.5,4.9
"48",-13.6362,34.0816,2009,7,3,43.9,1,4.9
"49",-13.6116,33.6609,2010,29,23,86.74,0,5
"50",-13.4403,33.6429,2010,12,1,9.11,0,5
"51",-13.692,34.0707,2010,20,2,10.94,0,5
"52",-13.55,33.7947,2010,10,1,10.94,0,5
"53",-13.603,33.535,2001,8,7,99.79,6.2,35.9
"54",-13.5425,33.7758,2012,12,7,60.91,0.5,4.9
"55",-13.6526,34.0895,2012,10,5,50.08,2.3,4.6
"56",-13.6101,33.6654,2012,11,7,64.48,1.3,4.8
"57",-13.4226,33.6528,2012,12,8,68.45,0.8,4.8
"58",-13.4897,33.5805,2014,14,10,74.28,0.6,4.6
"59",-13.4482,33.5744,2014,12,5,42.35,1.2,4.7
"60",-13.6457,34.0156,2014,13,0,0,0.7,4.8
"61",-13.8085,34.0438,2014,11,2,18.9,0.6,4.9
"62",-13.4808,33.6695,2017,13,6,47.99,0.6,4.6
"63",-13.5306,33.5974,2017,16,9,57.76,0.8,4.9
"64",-13.7269,34.065,2017,14,1,7.37,0.7,4.9
"65",-13.5293,34.0228,2017,14,4,29.84,0.5,4.9
"66",-13.7603,33.819,2017,11,2,18.99,0.5,4.9
"67",-13.559,33.6927,2016,16,7,44.28,2.2,12.7
"68",-13.5835,33.7763,2016,14,6,44.16,0.9,14
"69",-13.7215,33.8273,2016,16,8,51.16,1.3,13.5
"70",-13.4922,33.4733,2016,21,5,24.55,0.8,14.4
"71",-13.5577,33.8685,2009,7,1,14.64,1,4.9
"72",-13.5245,33.8231,2001,7,4,94.83,15.2,35.9
"73",-13.0427,33.4755,2009,4,0,0,2,2.9
"74",-13.0961,33.6795,2001,3,3,99.79,16.4,35.3
"75",-12.3916,33.5348,2009,10,1,10.38,1,3.9
"76",-12.8159,33.3393,2009,11,5,47.46,0.5,4.9
